Tip_name,Amyloid_spores
Typhula_sp_MO474304_PA,0
Baeospora_myriadophylla_MO465485_NY,1
Cystostereum_murrayi_MO471157_NY,0
Cystostereum_murrayi_MO471154_NY,0
Mycena_acicula_MO474055_NC,0
Hemimycena_sp_MO482180_TN,0
Hemimycena_cf_cucullata_MO482304_TN,0
Lactocollybia_sp_MO453469_TENN_F_076003_OH,0
Lactocollybia_sp_MO268952_CA,0
Henningsomyces_sp_MO458152_TENN_F_075942_OH,0
Rectipilus_cf_davidii_MO473873_PA,0
Rectipilus_cf_davidii_MO470774_NY,0
Mycopan_scabripes_MO454006_TENN_F_075999_OH,1
Hydropus_sp_MO303448_TENN_F_075944_OH,1
Phloeomana_sp_MO465292_TENN_F_075989_NY,0
Phloeomana_clavata_MO366859_OH,0
Phloeomana_speirea_MO482299_TN,0
Hemimycena_sp_MO482167_TN,0
Hemimycena_crispula_MO278117_OH,0
Hemimycena_crispula_MO468704_PA,0
Hemimycena_crispula_var_tetraspora_MO482178_TN,0
Hydropus_cf_omphaliiformis_MO476044_TN,0
Hydropus_cf_omphaliiformis_MO482305_TN,0
Hydropus_cf_omphaliiformis_MO302934_OH,0
Hydropus_cf_omphaliiformis_MO482303_TN,0
Hydropus_cf_floccipes_MO476221_TN,0
Hydropus_cf_floccipes_MO476281_TN,0
Hydropus_cf_floccipes_MO476290_TN,0
Pulverulina_ulmicola_MO474578_TN,0
Hydropus_praedecurrens_MO402721_TENN_F_075943_OH,1
Hydropus_praedecurrens_MO476571_PA,1
Hydropus_praedecurrens_MO476621_PA,1
Hydropus_praedecurrens_MO470225_PA,1
Hydropus_praedecurrens_MO465481_TENN_F_075991_NY,1
Hydropus_rugosodiscus_MO479828_NC,1
Hydropus_rugosodiscus_MO479954_NC,1
Hydropus_rugosodiscus_MO465301_TENN_F_0_75997_NY,1
Delicatula_integrella_MO471252_TN,1
Delicatula_integrella_MO471251_TN,1
Clitocybula_oculus_MO465483_NY,1
Clitocybula_sp_MO474311_TN,1
Gerronema_subclavatum_MO458276_OH,0
